T1,T2,T3,T4,Q1,Q2,Q3,P1,P1Q,P2,P2Q,P3,P3Q
2,50,42751,9,2228232,0,0,859,23805,0,150539,11962,1210378
2,0,36905,9,2104020,0,0,379,22652,0,120666,7732,1006672
0,110,28270,5,1765030,0,0,1073,35399,0,124258,5869,784541
4,28,29437,10,1215176,0,0,578,19758,0,110427,6216,639743
0,0,23776,4,1292361,0,0,680,25613,0,85091,8218,657689
0,0,117590,40,3494656,0,14,1827,30967,0,164740,48202,1308025
0,0,53329,11,2120393,0,0,2654,89752,0,104217,25629,940516
0,0,46506,10,2135383,0,0,1365,56101,0,113987,22964,923749
9,0,24351,4,1530331,0,0,855,23723,0,64732,12693,771850
0,0,59693,15,2577689,0,0,400,15854,0,211392,29186,1101866
2,56,80508,30,2368731,0,0,534,30291,0,242564,35424,1627017
0,28,8293,2,193050,0,0,417,6233,0,79208,2908,143509
0,89,46734,24,1989074,0,0,1028,38852,0,234188,18993,1265426
0,105,50189,26,1818001,0,0,1318,33765,0,211241,17773,730928
0,159,79178,24,2143073,0,0,2267,50524,0,103344,26154,1199820
0,25,40390,13,1692055,0,0,632,31540,0,75265,12460,774725
2,14,55441,31,2081682,0,0,588,31431,0,82716,14120,1001929
1,63,25362,6,1211351,0,0,511,27375,0,50200,8284,615500
0,83,38754,6,1310131,0,0,684,18292,0,85901,20693,876787
0,71,36785,8,1292455,0,0,681,45424,0,73262,11648,783543
0,168,39855,11,1497483,0,0,2216,52610,0,71722,13958,1035725
0,115,15530,3,416843,0,49,573,15049,0,51803,4810,175787
0,48,38149,3,1202886,0,0,616,20892,0,111555,12132,593384
0,31,53382,8,2035410,0,0,1211,22023,0,72572,18856,1031714
0,131,56891,14,2501322,0,0,1778,27925,0,78425,22573,1252867
0,113,39847,8,1430250,0,0,370,27143,0,54130,10415,798677
0,75,43502,16,1590133,0,0,1135,26006,0,58374,10380,742568
0,159,26760,1,1151539,0,0,631,23467,0,40864,8201,591780
4,80,73008,17,2437527,0,0,953,26954,0,76361,16941,1095052
2,35,78517,37,2397199,0,0,754,38812,0,75930,20970,1093168
0,0,73659,34,2997412,0,0,859,32498,0,75723,19438,1285083
0,47,28885,11,1471072,0,0,800,37809,0,40903,7124,658126
0,60,49256,15,1843643,0,0,381,23738,0,50271,12409,778720
2,108,78371,22,2157077,0,3,1252,27911,0,70607,19516,907458
0,93,104562,15,2635460,0,0,1607,57241,0,53647,23762,985240
0,1,68684,21,2581374,0,0,1513,51382,0,16611,18512,1158451
2,100,63643,17,2008446,0,0,1276,46771,0,11100,18634,908915
0,32,60754,15,1971137,0,0,696,15298,0,9407,15033,877128
0,1,35292,19,1529694,0,0,547,26628,0,63301,9298,563214
0,62,24288,2,944773,0,0,154,24688,0,29613,4638,411412
0,22,26522,2,528901,0,0,119,40630,0,42545,5005,244154
