T1,T2,T3,T4,Q1,Q2,Q3,P1,P1Q,P2,P2Q,P3,P3Q
2,18492,97205,10,1409261,0,0,8227,163572,0,161,61584,1586974
2,18432,92230,17,1479757,0,0,5437,152594,0,4384,59782,1525053
2,18052,92811,10,1359124,0,0,5784,144268,0,3423,59799,1409683
1,24288,117901,13,2194291,0,0,5965,243991,0,5155,72973,2213311
0,17898,100988,15,1577734,0,0,7061,152440,0,2463,70452,1687341
0,21709,96357,10,1517199,0,0,4693,103182,0,31,61308,1512665
2,19181,127869,27,2229374,0,0,5920,130137,0,39,80403,2196287
0,24520,138050,24,2571805,0,0,8014,212752,0,5749,97445,2541140
8,18498,119033,28,2323726,0,0,8284,235219,0,3008,73120,2323790
3,19059,133744,19,2338053,0,0,9523,225107,0,1525,83007,2268071
0,22470,135399,35,2472458,0,0,6602,150998,0,7228,85523,2591411
1,26896,164223,43,2812527,0,0,7011,155348,0,2548,113331,2880558
0,17878,89800,18,2176561,0,0,6257,171934,0,971,64652,2266029
4,15741,90919,18,1976763,0,0,5884,177835,0,3635,62785,2097715
6,20690,114344,17,1763685,0,0,12405,207804,0,2713,78495,1944308
0,13771,76723,7,1391051,0,0,3786,108591,0,1613,53519,1536884
1,14744,94880,15,1939108,0,0,3514,99955,0,1962,60850,2151948
0,17175,102819,11,2119333,0,0,5043,106184,0,2735,66220,2376420
4,16334,108521,8,2025742,0,0,5031,112599,0,530,64863,2295390
5,14449,92910,9,1847075,0,0,5521,128395,0,4609,54803,2111899
4,15991,86352,4,1162573,0,0,4129,75168,0,1370,59131,1370671
0,16357,104256,13,2043431,0,0,6282,149772,0,1326,72624,2405442
8,20374,136297,21,2534063,0,0,5167,107624,0,1039,92724,2824688
0,14653,87101,13,1557307,0,0,4387,88856,0,340,67061,1911409
2,16444,115293,19,2192091,0,0,5543,101105,0,169,71018,2482631
2,18731,113427,16,2368997,0,0,4224,136631,0,328,69728,2748916
0,16032,95063,10,1942601,0,0,4408,117633,0,320,64151,2199371
3,17448,109936,10,2237565,0,0,7829,141391,0,2747,70300,2689875
3,16724,97370,23,2123756,0,0,7333,162611,0,1744,71648,2653601
4,35215,231134,84,4477276,0,0,7247,144875,0,2976,146387,2769467
2,16086,100392,15,1797274,0,0,3807,88944,0,27,69631,2171165
6,17310,101992,24,2046463,0,0,5551,107445,0,1369,69851,2411816
2,23794,141961,22,3434793,0,0,6943,153535,0,5236,99156,2093153
0,27596,163649,39,3977350,0,0,6511,154731,0,6212,115825,1476915
0,22259,142187,23,3747682,0,0,12155,326696,0,16765,96902,1476973
0,17006,89107,24,1807706,0,0,5702,134047,0,3227,67497,2336962
4,16420,94823,15,1681384,0,0,4729,116133,0,4264,71582,2174177
2,16689,118958,28,4144872,0,0,10980,481479,0,2929,81687,1709895
14,39376,331998,79,6640628,0,0,23965,388538,0,12409,218827,2677959
4,35951,296384,108,6775438,0,0,14512,344741,0,9515,187109,2858622
2,48802,333455,114,7068957,0,0,13380,336219,0,15993,208493,2997852
8,30420,230967,61,5420006,0,0,12455,253431,0,5733,140587,2303297
5,27594,222375,48,4115530,0,0,14522,282621,0,2000,139116,1771483
1,29019,194227,41,4008240,0,0,14730,213998,0,3892,135318,2259366
1,25014,137805,33,2527599,0,0,7798,139625,0,3392,99539,2886484
0,22328,105115,28,2262287,0,0,8160,167229,0,576,76729,2538933
10,45054,214472,36,4120543,0,1,8031,159871,0,4217,152226,1897585
4,24411,136533,22,2069313,0,0,7910,165553,0,2631,98190,2476742
6,21765,116794,25,2031514,0,0,8975,163844,0,1876,82181,2527140
9,26711,148620,25,2528490,0,0,8655,155216,0,11494,97533,3070296
0,25548,127036,19,3682963,0,0,7910,197369,0,4211,87825,1587913
4,26812,138791,31,3885776,0,0,7133,205328,0,2932,94303,2054007
0,50955,251800,86,5283037,0,0,9604,333467,0,4096,169722,3614831
0,30925,171335,31,4554196,0,0,14903,309671,0,9379,115294,2559483
2,24475,119426,25,2901325,0,0,6514,146675,0,1365,88671,1702811
2,39113,191081,70,5293849,0,0,6129,191338,0,7518,131551,3125315
11,23080,119521,9,2714874,0,0,7461,179428,0,7980,91246,1527821
4,21495,108033,23,3176074,0,0,6976,185340,0,2363,76567,1760961
3,31094,160681,43,3791838,0,0,18262,379832,0,9712,106635,2659408
12,18364,84681,13,1530838,0,0,6881,144853,0,6501,67459,2063512
3,37555,215985,24,5220635,0,0,8459,210906,0,13749,160154,2601597
2,26939,132110,24,3836909,0,0,8276,234555,0,4392,95261,2250065
4,37145,171520,27,4383808,0,0,11375,309010,0,8559,133000,2462419
6,29033,154188,51,2977281,0,0,8414,225641,0,3771,110819,3642075
4,24192,112152,18,3625661,0,0,7797,255218,0,11197,84503,2024494
2,24115,108111,18,1707616,0,0,9706,270074,0,9458,81823,2143213
6,20980,88705,21,1625739,0,0,6865,150505,0,5859,69748,2252280
