timestamp,open,high,low,close,volume
31/01/2006,90.35,90.73,90.2,90.34,676100
30/01/2006,90.3,90.5,90.24,90.42,308500
27/01/2006,90.8,90.8,90.16,90.51,1091400
26/01/2006,90.55,90.6,90.05,90.51,764100
25/01/2006,91.51,91.57,90.79,90.9,1204500
24/01/2006,92,92.19,91.76,91.9,300500
23/01/2006,91.8,92.5,91.73,92.35,720400
20/01/2006,92.32,92.48,92.05,92.38,842700
19/01/2006,92.07,92.44,91.96,92.14,490600
18/01/2006,92.76,92.7685,92.12,92.57,622900
17/01/2006,92,92.5,91.93,92.44,454300
13/01/2006,91.59,92.3,91.58,92.03,491000
12/01/2006,91.13,91.52,91,91.5,626600
11/01/2006,91.25,91.29,90.75,90.89,394600
10/01/2006,91.63,91.68,91.03,91.04,698900
09/01/2006,91.7,91.78,91.54,91.78,413600
06/01/2006,91.77,91.9,91.49,91.72,1193700
05/01/2006,91.88,92.14,91.7,91.89,453400
04/01/2006,91.54,92.07,91.42,92,387600
03/01/2006,91.59,92.25,91.48,91.78,1393800
30/12/2005,92.54,92.59,91.7,91.9,1099500
29/12/2005,92.03,92.13,91.69,92.11,740600
28/12/2005,92.03,92.25,91.75,91.91,1295700
27/12/2005,91.97,92.59,91.8,92.55,519500
23/12/2005,91.19,92.0401,91.1,91.8,2295800
22/12/2005,90.92,91.31,90.91,91.24,692700
21/12/2005,90.53,90.58,90.29,90.52,193100
20/12/2005,90.58,90.8,90.4,90.68,236000
19/12/2005,90.6,91.1,90.56,90.79,469800
16/12/2005,90.83,90.9299,90.56,90.7,684500
15/12/2005,90.44,90.44,89.99,90.4,724300
14/12/2005,90.2,90.82,90.14,90.62,634900
13/12/2005,89.72,89.82,89.38,89.7,598900
12/12/2005,89.75,89.75,89.14,89.37,440500
09/12/2005,89.98,90.01,89.47,89.54,817400
08/12/2005,89.98,90.36,89.8,90.25,976200
07/12/2005,89.8,89.91,89.52,89.67,386600
06/12/2005,89.41,90.12,89.32,90.01,968800
05/12/2005,89.35,89.35,88.85,89.1,431100
02/12/2005,89.27,89.55,89.15,89.5,746200
01/12/2005,90,90.01,89.18,89.47,1214800
30/11/2005,90.3,90.3,89.82,90,1645400
29/11/2005,91.08,91.11,90.03,90.1,889200
28/11/2005,90.52,91.14,90.52,90.96,883400
25/11/2005,90.41,90.54,90.34,90.51,421500
23/11/2005,90.59,90.69,89.86,90.18,768300
22/11/2005,90.37,90.67,90.35,90.53,1026900
21/11/2005,90.34,90.66,90.33,90.41,503300
18/11/2005,90.37,90.45,90.06,90.14,734100
17/11/2005,90.17,90.9,90.05,90.56,1003100
16/11/2005,89.8,90.44,89.75,90.34,1822300
15/11/2005,88.75,89.65,88.75,89.4,839800
14/11/2005,89.38,89.4499,88.62,88.82,1230100
11/11/2005,89.6,89.7,89.44,89.49,193700
10/11/2005,88.72,89.48,88.63,89.44,1695200
09/11/2005,88.78,88.93,88.36,88.36,1140600
08/11/2005,88.89,89.32,88.89,89.28,1396800
07/11/2005,88.5,88.57,88.35,88.42,1121600
04/11/2005,88.42,88.64,87.86,88.12,1888700
03/11/2005,88.89,88.97,88.24,88.26,963100
02/11/2005,89.08,89.3899,88.83,88.86,781100
01/11/2005,89.43,89.65,89.09,89.28,647100
31/10/2005,89.77,90.04,89.58,89.78,547700
28/10/2005,89.72,89.88,89.12,89.61,750400
27/10/2005,89.6,89.79,89.3,89.6,1197400
26/10/2005,89.45,89.6999,89.16,89.28,2898300
25/10/2005,90.82,91.05,89.93,89.94,638000
24/10/2005,91.32,91.41,90.49,90.72,939100
21/10/2005,90.83,91.47,90.75,91.43,1252800
20/10/2005,90.28,90.6,90.13,90.59,810300
19/10/2005,90.66,90.97,90.35,90.35,904800
18/10/2005,90.46,90.48,90.23,90.31,878200
17/10/2005,90.42,90.61,90.12,90.21,1058200
14/10/2005,90.6,90.7,89.82,90.23,1042600
13/10/2005,90.25,90.5,90.08,90.37,1376600
12/10/2005,91.44,91.44,90.65,90.7,1105700
